name,category,address,roadAddress,district,latitude,longitude
자담치킨 송현점,호프/통닭,대구광역시 달서구 송현동 798-281,"대구광역시 달서구 월배로68길 28, 1층 (송현동)",달서구,35.824644,128.548434
자담치킨 죽전점,호프/통닭,대구광역시 달서구 죽전동 270-3 외1필지,"대구광역시 달서구 달구벌대로307길 18, 1층 (죽전동)",달서구,35.850826,128.534492
자담치킨대구월성점,호프/통닭,대구광역시 달서구 대천동 511-3 월배이타운,"대구광역시 달서구 진천로 117, 월배이타운 1층 107호 (대천동)",달서구,35.818734,128.521357
자담치킨본리점,호프/통닭,대구광역시 달서구 본리동 377-2,"대구광역시 달서구 와룡로 96, A동 1층 (본리동)",달서구,35.841252,128.537558
자매국수,한식,대구광역시 달서구 호림동 15-16,"대구광역시 달서구 성서공단로 55, 1층 (호림동)",달서구,35.835071,128.488635
자매네밥상,한식,대구광역시 달서구 상인동 113 상인역 e-편한세상 1단지,"대구광역시 달서구 월서로 14, 131동 1층 102호 (상인동, 상인역 e-편한세상 1단지)",달서구,35.821752,128.533320
자미원,호프/통닭,대구광역시 달서구 상인동 1402-8 1층,"대구광역시 달서구 월배로48길 41, 1층 (상인동)",달서구,35.817244,128.538006
자연산,일식,대구광역시 달서구 장기동 816-4 (지상1층),"대구광역시 달서구 장기로 285 (장기동,(지상1층))",달서구,35.843354,128.529095
자연석생삼겹살,식육(숯불구이),대구광역시 달서구 호산동 390-1,대구광역시 달서구 호산동로35남길 63 (호산동),달서구,35.849763,128.482523
작은공간포차,한식,대구광역시 달서구 진천동 117-6,"대구광역시 달서구 월배로28길 17, 1층 (진천동)",달서구,35.815176,128.530210
작은식당,분식,대구광역시 달서구 본동 713 1층,"대구광역시 달서구 구마로10길 27, 1층 (본동)",달서구,35.835855,128.532428
잔비어쓰,호프/통닭,대구광역시 달서구 이곡동 1306-0001 한샘아파트 210동 103호,"대구광역시 달서구 선원남로 77, 210동 103호 (이곡동, 한샘아파트)",달서구,35.858008,128.508784
잔치마을,한식,대구광역시 달서구 도원동 1433-0002 A동,"대구광역시 달서구 도원로서길 5, A동 (도원동)",달서구,35.807702,128.535224
잘 차린 바다,일식,대구광역시 달서구 송현동 1945-24,"대구광역시 달서구 송현로12길 8, 1층 (송현동)",달서구,35.823523,128.546653
잘떳다 산오징어,횟집,대구광역시 달서구 본리동 64-5 외1필지(지상1층) A동,"대구광역시 달서구 대명천로42길 5, A동 (본리동,외1필지(지상1층))",달서구,35.841902,128.537857
잘떳다 산오징어,횟집,대구광역시 달서구 진천동 628-24 (1층),"대구광역시 달서구 월배로14길 25 (진천동,(1층))",달서구,35.812233,128.521971
잠석레스토랑,경양식,대구광역시 달서구 상인동 1411-13,"대구광역시 달서구 월곡로53길 61, 1층 (상인동)",달서구,35.816030,128.536206
장고집,식육(숯불구이),대구광역시 달서구 장기동 816-6,"대구광역시 달서구 장기로57길 6, 1층 (장기동)",달서구,35.843221,128.529242
장관옛날통닭,한식,대구광역시 달서구 송현동 1991-8,"대구광역시 달서구 중흥로 66, 지상1층 (송현동)",달서구,35.828836,128.558518
장군생고기,식육(숯불구이),대구광역시 달서구 진천동 659-10,"대구광역시 달서구 상화로9길 112, 1층 (진천동)",달서구,35.813015,128.520784
장군육회,한식,대구광역시 달서구 성당동 0826-0035,"대구광역시 달서구 야외음악당로2길 38, 지상1층 (성당동)",달서구,35.838069,128.550698
