adm_nm,stock,opened,closed,quarter,closure_rate,net
군위군 소보면,18,0,0,2016Q2,0.0,0
군위군 우보면,13,0,0,2016Q2,0.0,0
군위군 의흥면,27,0,0,2016Q2,0.0,0
군위군 효령면,36,1,0,2016Q2,0.0,1
남구 대명10동,185,5,2,2016Q2,0.0108,3
남구 대명11동,136,1,2,2016Q2,0.0147,-1
남구 대명1동,81,1,0,2016Q2,0.0,1
남구 대명2동,200,5,4,2016Q2,0.02,1
남구 대명3동,297,7,6,2016Q2,0.0202,1
남구 대명4동,169,1,1,2016Q2,0.0059,0
남구 대명5동,188,2,1,2016Q2,0.0053,1
남구 대명6동,82,4,3,2016Q2,0.0366,1
남구 대명9동,219,8,7,2016Q2,0.032,1
