adm_nm,stock,opened,closed,quarter,closure_rate,net
달성군 다사읍,582,14,6,2016Q1,0.0103,8
달성군 옥포읍,140,6,3,2016Q1,0.0214,3
달성군 유가읍,92,4,0,2016Q1,0.0,4
달성군 하빈면,64,2,1,2016Q1,0.0156,1
달성군 현풍읍,320,25,2,2016Q1,0.0062,23
달성군 화원읍,400,10,3,2016Q1,0.0075,7
동구 공산동,292,0,11,2016Q1,0.0377,-11
동구 도평동,30,1,1,2016Q1,0.0333,0
동구 동촌동,155,5,5,2016Q1,0.0323,0
동구 방촌동,185,6,4,2016Q1,0.0216,2
동구 불로·봉무동,272,5,4,2016Q1,0.0147,1
동구 신암1동,173,2,3,2016Q1,0.0173,-1
동구 신암2동,83,2,3,2016Q1,0.0361,-1
동구 신암3동,91,4,3,2016Q1,0.033,1
동구 신암4동,211,4,4,2016Q1,0.019,0
동구 신암5동,82,2,1,2016Q1,0.0122,1
동구 신천1·2동,98,1,2,2016Q1,0.0204,-1
동구 신천3동,150,3,1,2016Q1,0.0067,2
동구 신천4동,301,5,4,2016Q1,0.0133,1
동구 안심1동,479,14,13,2016Q1,0.0271,1
동구 안심2동,46,3,0,2016Q1,0.0,3
동구 안심3동,163,5,3,2016Q1,0.0184,2
동구 안심4동,156,4,1,2016Q1,0.0064,3
동구 지저동,154,4,7,2016Q1,0.0455,-3
동구 해안동,131,3,3,2016Q1,0.0229,0
동구 혁신동,121,19,2,2016Q1,0.0165,17
동구 효목1동,249,4,7,2016Q1,0.0281,-3
동구 효목2동,189,3,2,2016Q1,0.0106,1
북구 검단동,56,0,2,2016Q1,0.0357,-2
북구 고성동,124,2,2,2016Q1,0.0161,0
북구 관문동,151,10,0,2016Q1,0.0,10
