quarter,emp_yoy,prod_yoy,firms_yoy,excess,cluster
2024Q3,0.06828220126536944,0.10749236382988969,0.024790083966413468,0.0008744658211001784,제3산단
2024Q4,0.04605493863237875,0.20439037092579282,0.0035238841033673474,-0.002888345895636683,제3산단
2025Q1,0.04605493863237875,0.3709037195137823,0.0035238841033673474,-0.0006620349436274016,제3산단
2025Q2,-0.03707042253521131,0.18538786789399286,-0.026666666666666616,-0.003740116315520142,제3산단
2018Q2,,,,-0.0026485239333632494,서대구산단
2018Q3,,,,-0.002490620822149499,서대구산단
2018Q4,,,,-0.0032091485076533714,서대구산단
2019Q1,,,,-0.0026593088955440968,서대구산단
2019Q2,-0.010695551468083653,-0.4475614228089475,0.052497883149873026,-0.0020397499137196854,서대구산단
2019Q3,0.008141962421711835,0.05811103100216286,0.010137875101378757,-0.0011264650253058105,서대구산단
2019Q4,-0.006583910568548124,-0.07595555555555555,-0.002405773857257376,-0.000566672255445373,서대구산단
2020Q1,-0.008056741495661712,-0.5263726635514019,-0.05349959774738533,0.0035368335193869246,서대구산단
2020Q2,-0.013152458339071749,-0.5031729173581148,-0.05349959774738533,0.008714435199486507,서대구산단
2020Q3,0.002484986539656342,-0.47113654946852,-0.10879164993978319,0.009383250763975101,서대구산단
2020Q4,0.0008974801518812914,-0.34048386321004276,-0.11093247588424437,0.009372124604123431,서대구산단
2021Q1,0.021867407150295115,0.03624591478078565,-0.0603484912877178,0.005299539795840889,서대구산단
2021Q2,-0.02707417486567576,0.11124026347081384,-0.028049298767530817,-0.0010094240970305339,서대구산단
2021Q3,-0.04372374853680372,0.09128272521129666,0.02837837837837842,-0.0025270341584284145,서대구산단
2021Q4,-0.04614429576493306,-0.08305377285103077,0.026672694394213492,-0.0046313398058586515,서대구산단
2022Q1,-0.047078804347826075,-0.048307626392459335,0.027137042062415295,-0.006685055733967147,서대구산단
2022Q2,-0.04209997848382696,-0.14433770574585503,0.09094884127678182,-0.0063892669336969785,서대구산단
2022Q3,0.1847638248847927,-0.058948536617041136,0.12571178274200623,-0.00729300934074344,서대구산단
2022Q4,0.21454913587388824,-0.059624332241943856,0.13606340819022456,-0.008417982762918124,서대구산단
2023Q1,0.2120909674199758,0.02022134683924226,0.16732716864817254,-0.008435296718869195,서대구산단
2023Q2,0.28870919436957165,0.16921931205035978,0.06813627254509025,-0.009158945647211548,서대구산단
2023Q3,0.058101373526194156,-0.07253977016108792,0.036575875486381415,-0.00867212716823825,서대구산단
2023Q4,0.03357942367230282,0.1358593761012672,-0.003875968992248069,-0.00274161720556888,서대구산단
2024Q1,0.01035172332666745,-0.15057243019293476,-0.02451904941531502,-0.0007419070763832547,서대구산단
2024Q2,-0.004647920055775079,-0.10891588852435374,-0.014634146341463428,0.0011252653950263349,서대구산단
2024Q3,-0.024066628374497467,-0.13742120498877253,-0.04842342342342343,0.0007135429508185794,서대구산단
2024Q4,-0.025288018433179738,-0.058290621625981975,-0.015953307392996163,-0.0017182084135575456,서대구산단
2025Q1,-0.016823844452206305,9.621533088978037,-0.023975251353441585,-0.0032438770482081476,서대구산단
2025Q2,-0.01529301891197754,7.437773102443762,-0.0422696115765423,-0.004511539713098184,서대구산단
2018Q2,,,,-0.002771646888894779,염색산단
2018Q3,,,,-0.0036978462796465237,염색산단
2018Q4,,,,-0.002914853710399057,염색산단
2019Q1,,,,-0.0029453866814451485,염색산단
2019Q2,-0.08092905098893122,-0.47913558583976856,-0.008196721311475419,-0.0022593524803616698,염색산단
2019Q3,-0.06553398058252424,-0.19328285452411953,-0.016260162601625994,-0.0018302006423123627,염색산단
2019Q4,-0.08617856490779618,-0.2227538222376504,-0.016260162601625994,-0.0012490902267935132,염색산단
2020Q1,-0.020899053627760233,-0.03375414284641709,0.0,0.0022149478288783124,염색산단
2020Q2,-0.06673247778874625,-0.342600470942082,0.024793388429751984,0.005791795321019097,염색산단
2020Q3,-0.06233766233766236,0.010478706082425626,0.024793388429751984,0.007763761891889843,염색산단
2020Q4,-0.06333666333666332,0.0303765842039172,0.016528925619834656,0.007999687516791497,염색산단
2021Q1,-0.06745871929117997,-0.11994649557089887,0.016260162601626105,0.004165454927564135,염색산단
2021Q2,-0.02030886397292153,0.28973903620985464,0.008064516129032251,0.0008475804302606653,염색산단
2021Q3,-0.013211165565736205,0.1327551510029863,0.008064516129032251,-0.00043608983078594456,염색산단
2021Q4,-0.012158703071672328,0.16295300495643494,0.016260162601626105,-0.0024492064706527713,염색산단
2022Q1,0.0,0.17477816108626953,0.0,-0.002578922877844261,염색산단
2022Q2,0.0,0.1206329202548484,0.0,-0.0028525760012554045,염색산단
2022Q3,0.0,0.13136498703926147,0.0,-0.0032653763729910347,염색산단
2022Q4,0.0,0.02036439849400673,0.0,-0.0012249772725810965,염색산단
2023Q1,-0.012308356726408953,-0.19751548793712492,-0.016000000000000014,-0.0009685746833463845,염색산단
2023Q2,-0.012308356726408953,-0.17894331292432009,-0.016000000000000014,0.00018093728666640496,염색산단
2023Q3,-0.002375296912114022,-0.20053870398104479,-0.016000000000000014,0.00018354448413539486,염색산단
2023Q4,-0.002375296912114022,-0.045882147413669916,-0.016000000000000014,0.00045687377810075744,염색산단
2024Q1,0.010056843025797901,-0.042138852838468854,0.0,-0.0006678976693924215,염색산단
2024Q2,0.010056843025797901,-0.06042409100708934,0.0,0.0006187683980351591,염색산단
2024Q3,0.0,-0.10902266150340412,0.0,-0.001393792582878567,염색산단
2024Q4,0.0,-0.29276480053265275,0.0,-0.0045359536126994065,염색산단
2025Q1,0.0,-0.08903989998812711,0.0,-0.004601672594360842,염색산단
2025Q2,-0.07034632034632038,-0.13744069432352723,0.0,-0.008537211049667754,염색산단
2018Q2,,,,-0.0027576028560908367,검단산단
2018Q3,,,,-0.004110711101542592,검단산단
2018Q4,,,,-0.004499294757485398,검단산단
2019Q1,,,,-0.0037301212573334773,검단산단
2019Q2,-0.008707723372034293,-0.5054077348680734,0.0,-0.0024889347606522278,검단산단
2019Q3,-0.007831249210559554,-0.01196039163328888,-0.005474452554744547,-0.0027862033638405125,검단산단
2019Q4,-0.010064159013712382,-0.013723747083009274,0.0018248175182482562,-0.00394123002363998,검단산단
2020Q1,-0.006726741972331474,-0.021078458707410874,0.003656307129798808,-0.005553513157662824,검단산단
2020Q2,-0.01413112667091021,-0.022935521951767956,0.020220588235294157,-0.007260270730021747,검단산단
2020Q3,-0.008274984086569015,0.007488317099262343,0.025688073394495303,-0.006894380069125803,검단산단
2020Q4,-0.01080188079806832,0.03030815165342804,0.016393442622950838,-0.007945733291641607,검단산단
2021Q1,-0.0023000255558395244,0.0605525491313017,0.01821493624772308,-0.0068895479498420715,검단산단
2021Q2,0.011363636363636465,0.08294689603590122,0.0108108108108107,-0.004520893221404473,검단산단
2021Q3,0.007060333761232274,0.06052308036213261,0.007155635062611854,-0.001243670261043786,검단산단
2021Q4,0.009506680369989695,0.04124883809940405,0.014336917562723928,-0.0006256253814020101,검단산단
2022Q1,0.009861680327868827,0.05353421420131066,0.019677996422182487,-0.0006874859866353232,검단산단
2022Q2,0.004979570990806925,0.06812518926615208,0.01426024955436711,-0.0008897546547495887,검단산단
2022Q3,0.0019120458891013214,0.04460662907730417,0.014209591474245054,-0.0034600070503051274,검단산단
2022Q4,0.0030542122677525985,0.04725521703057223,0.012367491166077826,0.005602529733680908,검단산단
2023Q1,-0.005199746353836354,0.0004843306295787553,-0.0017543859649122862,0.01066086463966512,검단산단
2023Q2,-0.0019057298945496237,-0.004396916190002487,0.0017574692442883233,0.014917151390605395,검단산단
2023Q3,-0.0005089058524172518,-0.0064166267309001546,0.0,0.017572298473998497,검단산단
2023Q4,-0.0032986551636640105,-0.024238716762020274,0.0,0.011542307330469482,검단산단
2024Q1,0.002932177460479357,-0.01828864361349758,0.008787346221441172,0.006030525555801136,검단산단
2024Q2,0.001782077393075454,-0.025988429603429175,0.012280701754386003,0.0021482335200479485,검단산단
2024Q3,0.0028004073319756184,-0.023552646943842293,0.015761821366024442,0.00010277096748228815,검단산단
