baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20260914,0500,SNO,20260915,0600,적설없음,89,90
20260914,0500,TMN,20260915,0600,17.0,89,90
20260914,0500,TMP,20260915,0700,18,89,90
20260914,0500,UUU,20260915,0700,0.1,89,90
20260914,0500,VVV,20260915,0700,-0.1,89,90
20260914,0500,VEC,20260915,0700,315,89,90
20260914,0500,WSD,20260915,0700,0.2,89,90
20260914,0500,SKY,20260915,0700,3,89,90
20260914,0500,PTY,20260915,0700,0,89,90
20260914,0500,POP,20260915,0700,20,89,90
20260914,0500,WAV,20260915,0700,0,89,90
20260914,0500,PCP,20260915,0700,강수없음,89,90
20260914,0500,REH,20260915,0700,90,89,90
20260914,0500,SNO,20260915,0700,적설없음,89,90
20260914,0500,TMP,20260915,0800,19,89,90
20260914,0500,UUU,20260915,0800,0.2,89,90
20260914,0500,VVV,20260915,0800,-0.4,89,90
20260914,0500,VEC,20260915,0800,329,89,90
20260914,0500,WSD,20260915,0800,0.5,89,90
20260914,0500,SKY,20260915,0800,1,89,90
20260914,0500,PTY,20260915,0800,0,89,90
20260914,0500,POP,20260915,0800,0,89,90
20260914,0500,WAV,20260915,0800,0,89,90
20260914,0500,PCP,20260915,0800,강수없음,89,90
20260914,0500,REH,20260915,0800,80,89,90
20260914,0500,SNO,20260915,0800,적설없음,89,90
20260914,0500,TMP,20260915,0900,22,89,90
20260914,0500,UUU,20260915,0900,0.3,89,90
20260914,0500,VVV,20260915,0900,-0.7,89,90
20260914,0500,VEC,20260915,0900,333,89,90
20260914,0500,WSD,20260915,0900,0.8,89,90
20260914,0500,SKY,20260915,0900,1,89,90
20260914,0500,PTY,20260915,0900,0,89,90
20260914,0500,POP,20260915,0900,0,89,90
20260914,0500,WAV,20260915,0900,0,89,90
20260914,0500,PCP,20260915,0900,강수없음,89,90
20260914,0500,REH,20260915,0900,70,89,90
20260914,0500,SNO,20260915,0900,적설없음,89,90
20260914,0500,TMP,20260915,1000,24,89,90
20260914,0500,UUU,20260915,1000,0.2,89,90
20260914,0500,VVV,20260915,1000,-0.9,89,90
20260914,0500,VEC,20260915,1000,343,89,90
20260914,0500,WSD,20260915,1000,1,89,90
20260914,0500,SKY,20260915,1000,1,89,90
20260914,0500,PTY,20260915,1000,0,89,90
20260914,0500,POP,20260915,1000,0,89,90
20260914,0500,WAV,20260915,1000,0,89,90
20260914,0500,PCP,20260915,1000,강수없음,89,90
20260914,0500,REH,20260915,1000,65,89,90
20260914,0500,SNO,20260915,1000,적설없음,89,90
20260914,0500,TMP,20260915,1100,25,89,90
20260914,0500,UUU,20260915,1100,0.3,89,90
20260914,0500,VVV,20260915,1100,-1,89,90
20260914,0500,VEC,20260915,1100,340,89,90
20260914,0500,WSD,20260915,1100,1.1,89,90
20260914,0500,SKY,20260915,1100,1,89,90
20260914,0500,PTY,20260915,1100,0,89,90
20260914,0500,POP,20260915,1100,0,89,90
20260914,0500,WAV,20260915,1100,0,89,90
20260914,0500,PCP,20260915,1100,강수없음,89,90
20260914,0500,REH,20260915,1100,60,89,90
20260914,0500,SNO,20260915,1100,적설없음,89,90
20260914,0500,TMP,20260915,1200,26,89,90
20260914,0500,UUU,20260915,1200,0.6,89,90
20260914,0500,VVV,20260915,1200,-1.2,89,90
20260914,0500,VEC,20260915,1200,332,89,90
20260914,0500,WSD,20260915,1200,1.4,89,90
20260914,0500,SKY,20260915,1200,1,89,90
20260914,0500,PTY,20260915,1200,0,89,90
20260914,0500,POP,20260915,1200,0,89,90
20260914,0500,WAV,20260915,1200,0,89,90
20260914,0500,PCP,20260915,1200,강수없음,89,90
20260914,0500,REH,20260915,1200,55,89,90
20260914,0500,SNO,20260915,1200,적설없음,89,90
20260914,0500,TMP,20260915,1300,28,89,90
20260914,0500,UUU,20260915,1300,1,89,90
20260914,0500,VVV,20260915,1300,-1.4,89,90
20260914,0500,VEC,20260915,1300,326,89,90
20260914,0500,WSD,20260915,1300,1.8,89,90
20260914,0500,SKY,20260915,1300,1,89,90
20260914,0500,PTY,20260915,1300,0,89,90
20260914,0500,POP,20260915,1300,0,89,90
20260914,0500,WAV,20260915,1300,0,89,90
20260914,0500,PCP,20260915,1300,강수없음,89,90
20260914,0500,REH,20260915,1300,50,89,90
20260914,0500,SNO,20260915,1300,적설없음,89,90
20260914,0500,TMP,20260915,1400,28,89,90
20260914,0500,UUU,20260915,1400,0.8,89,90
20260914,0500,VVV,20260915,1400,-1.5,89,90
20260914,0500,VEC,20260915,1400,331,89,90
20260914,0500,WSD,20260915,1400,1.8,89,90
20260914,0500,SKY,20260915,1400,1,89,90
20260914,0500,PTY,20260915,1400,0,89,90
20260914,0500,POP,20260915,1400,0,89,90
20260914,0500,WAV,20260915,1400,0,89,90
20260914,0500,PCP,20260915,1400,강수없음,89,90
20260914,0500,REH,20260915,1400,50,89,90
20260914,0500,SNO,20260915,1400,적설없음,89,90
20260914,0500,TMP,20260915,1500,28,89,90
20260914,0500,UUU,20260915,1500,0.9,89,90
20260914,0500,VVV,20260915,1500,-1.7,89,90
20260914,0500,VEC,20260915,1500,333,89,90
20260914,0500,WSD,20260915,1500,2,89,90
20260914,0500,SKY,20260915,1500,1,89,90
20260914,0500,PTY,20260915,1500,0,89,90
20260914,0500,POP,20260915,1500,0,89,90
20260914,0500,WAV,20260915,1500,0,89,90
20260914,0500,PCP,20260915,1500,강수없음,89,90
20260914,0500,REH,20260915,1500,45,89,90
20260914,0500,SNO,20260915,1500,적설없음,89,90
20260914,0500,TMX,20260915,1500,28.0,89,90
20260914,0500,TMP,20260915,1600,28,89,90
20260914,0500,UUU,20260915,1600,0.3,89,90
20260914,0500,VVV,20260915,1600,-1.6,89,90
20260914,0500,VEC,20260915,1600,347,89,90
20260914,0500,WSD,20260915,1600,1.7,89,90
20260914,0500,SKY,20260915,1600,1,89,90
20260914,0500,PTY,20260915,1600,0,89,90
20260914,0500,POP,20260915,1600,0,89,90
20260914,0500,WAV,20260915,1600,0,89,90
20260914,0500,PCP,20260915,1600,강수없음,89,90
20260914,0500,REH,20260915,1600,50,89,90
20260914,0500,SNO,20260915,1600,적설없음,89,90
20260914,0500,TMP,20260915,1700,27,89,90
20260914,0500,UUU,20260915,1700,-0.1,89,90
20260914,0500,VVV,20260915,1700,-1.6,89,90
20260914,0500,VEC,20260915,1700,7,89,90
20260914,0500,WSD,20260915,1700,1.7,89,90
20260914,0500,SKY,20260915,1700,3,89,90
20260914,0500,PTY,20260915,1700,0,89,90
20260914,0500,POP,20260915,1700,20,89,90
20260914,0500,WAV,20260915,1700,0,89,90
20260914,0500,PCP,20260915,1700,강수없음,89,90
20260914,0500,REH,20260915,1700,55,89,90
20260914,0500,SNO,20260915,1700,적설없음,89,90
20260914,0500,TMP,20260915,1800,25,89,90
20260914,0500,UUU,20260915,1800,-1,89,90
20260914,0500,VVV,20260915,1800,-0.9,89,90
20260914,0500,VEC,20260915,1800,50,89,90
20260914,0500,WSD,20260915,1800,1.5,89,90
20260914,0500,SKY,20260915,1800,3,89,90
20260914,0500,PTY,20260915,1800,0,89,90
20260914,0500,POP,20260915,1800,20,89,90
20260914,0500,WAV,20260915,1800,0,89,90
20260914,0500,PCP,20260915,1800,강수없음,89,90
20260914,0500,REH,20260915,1800,60,89,90
20260914,0500,SNO,20260915,1800,적설없음,89,90
20260914,0500,TMP,20260915,1900,23,89,90
20260914,0500,UUU,20260915,1900,-1.2,89,90
20260914,0500,VVV,20260915,1900,-0.6,89,90
20260914,0500,VEC,20260915,1900,63,89,90
20260914,0500,WSD,20260915,1900,1.5,89,90
20260914,0500,SKY,20260915,1900,1,89,90
20260914,0500,PTY,20260915,1900,0,89,90
20260914,0500,POP,20260915,1900,0,89,90
20260914,0500,WAV,20260915,1900,0,89,90
20260914,0500,PCP,20260915,1900,강수없음,89,90
20260914,0500,REH,20260915,1900,70,89,90
20260914,0500,SNO,20260915,1900,적설없음,89,90
